mean 100 episode reward,steps,% time spent exploring,episodes
-1.6,358,99,100
-1.5,722,99,200
-1.3,1057,99,300
-1.5,1427,99,400
-1.3,1765,99,500
-1.5,2142,99,600
-1.4,2480,99,700
-1.4,2874,99,800
-1.4,3231,99,900
-1.4,3585,99,1000
-1.3,3922,99,1100
-1.3,4248,99,1200
-1.4,4585,99,1300
-1.3,4931,99,1400
-1.3,5274,99,1500
-1.4,5671,99,1600
-1.4,6027,99,1700
-1.4,6410,99,1800
-1.4,6739,99,1900
-1.5,7092,99,2000
-1.4,7449,99,2100
-1.2,7803,99,2200
-1.5,8142,99,2300
-1.3,8510,99,2400
-1.3,8879,99,2500
-1.4,9277,99,2600
-1.4,9621,99,2700
-1.3,9968,99,2800
-1.6,10337,99,2900
-1.4,10679,99,3000
-1.3,11059,99,3100
-1.4,11433,99,3200
-1.2,11752,99,3300
-1.2,12094,99,3400
-1.3,12466,99,3500
-1.3,12828,99,3600
-1.4,13171,99,3700
-1.2,13506,99,3800
-1.3,13861,99,3900
-1.2,14192,99,4000
-1.4,14551,99,4100
-1.4,14920,99,4200
-1.3,15292,99,4300
-1.4,15671,99,4400
-1.4,16005,99,4500
-1.2,16321,99,4600
-1.3,16678,99,4700
-1.3,17034,99,4800
-1.3,17359,99,4900
-1.5,17722,99,5000
-1.4,18079,99,5100
-1.4,18433,99,5200
-1.4,18794,99,5300
-1.4,19173,99,5400
-1.4,19532,99,5500
-1.4,19908,99,5600
-1.2,20258,99,5700
-1.1,20591,98,5800
-1.4,20961,98,5900
-1.1,21322,98,6000
-1.3,21669,98,6100
-1.4,21998,98,6200
-1.4,22345,98,6300
-1.3,22724,98,6400
-1.4,23078,98,6500
-1.2,23424,98,6600
-1.3,23791,98,6700
-1.5,24133,98,6800
-1.4,24483,98,6900
-1.5,24867,98,7000
-1.4,25232,98,7100
-1.3,25562,98,7200
-1.2,25913,98,7300
-1.6,26300,98,7400
-1.4,26685,98,7500
-1.6,27055,98,7600
-1.4,27435,98,7700
-1.4,27810,98,7800
-1.2,28138,98,7900
-1.1,28450,98,8000
-1.3,28800,98,8100
-1.3,29166,98,8200
-1.3,29520,98,8300
-1.3,29908,98,8400
-1.3,30244,98,8500
-1.3,30618,98,8600
-1.2,30957,98,8700
-1.4,31318,98,8800
-1.3,31666,98,8900
-1.2,31987,98,9000
-1.3,32353,98,9100
-1.3,32709,98,9200
-1.3,33045,98,9300
-1.5,33420,98,9400
-1.4,33804,98,9500
-1.2,34162,98,9600
-1.4,34543,98,9700
-1.3,34905,98,9800
-1.4,35293,98,9900
-1.1,35604,98,10000
-1.4,35981,98,10100
-1.2,36335,98,10200
-1.3,36674,98,10300
-1.4,37047,98,10400
-1.3,37389,98,10500
-1.2,37739,98,10600
-1.3,38129,98,10700
-1.5,38530,98,10800
-1.3,38855,98,10900
-1.3,39213,98,11000
-1.2,39565,98,11100
-1.4,39940,98,11200
-1.2,40309,98,11300
-1.4,40664,98,11400
-1.3,40981,97,11500
-1.2,41321,97,11600
-1.4,41675,97,11700
-1.2,42012,97,11800
-1.3,42371,97,11900
-1.3,42712,97,12000
-1.6,43090,97,12100
-1.3,43423,97,12200
-1.4,43779,97,12300
-1.4,44150,97,12400
-1.3,44494,97,12500
-1.3,44835,97,12600
-1.1,45169,97,12700
-1.2,45507,97,12800
-1.4,45872,97,12900
-1.4,46264,97,13000
-1.4,46645,97,13100
-1.4,46980,97,13200
-1.2,47320,97,13300
-1.3,47672,97,13400
-1.2,47963,97,13500
-1.5,48345,97,13600
-1.5,48725,97,13700
-1.5,49089,97,13800
-1.2,49430,97,13900
-1.4,49766,97,14000
-1.5,50128,97,14100
-1.2,50481,97,14200
-1.4,50830,97,14300
-1.2,51173,97,14400
-1.3,51523,97,14500
-1.3,51883,97,14600
-1.7,52282,97,14700
-1.4,52647,97,14800
-1.3,53032,97,14900
-1.3,53387,97,15000
-1.1,53739,97,15100
-1.2,54051,97,15200
-1.3,54439,97,15300
-1.6,54840,97,15400
-1.3,55173,97,15500
-1.6,55590,97,15600
-1.5,55952,97,15700
-1.2,56292,97,15800
