#{"t_start": 1606167081.3390355, "env_id": null}
r,l,t
1.0,2,1.918919
2.0,2,1.941866
0.0,2,1.953716
-2,2,1.960602
2.0,2,1.979682
-1,2,1.986925
-2,2,1.993899
1.0,3,2.015778
-2,2,2.022624
1.0,3,2.043924
0.0,2,2.056591
0.0,2,2.068631
2.0,2,2.087415
1.0,2,2.100261
3.0,3,2.133043
0.0,2,2.145083
-1,2,2.152212
-1,2,2.159118
1.0,2,2.174497
2.0,3,2.195195
-1,2,2.202373
-1,2,2.209281
2.0,2,2.227772
0.0,2,2.240121
0.0,2,2.252371
-2,2,2.261398
0.0,2,2.274213
-1,2,2.281585
0.0,2,2.294067
-2,2,2.30174
-1,2,2.309052
1.0,2,2.323551
1.0,4,2.348328
1.0,2,2.36191
0.0,3,2.377237
1.0,2,2.390326
-2,2,2.397762
3.0,5,2.436769
6.0,6,2.493427
-2,2,2.5014
0.0,2,2.514526
0.0,2,2.528075
0.0,2,2.54208
-1.0,3,2.558763
0.0,2,2.57226
1.0,4,2.597414
1.0,2,2.60987
2.0,2,2.629938
0.0,3,2.645372
0.0,3,2.660392
0.0,2,2.672234
2.0,3,2.6928
0.0,3,2.709076
1.0,2,2.721451
-1,2,2.729069
-2,2,2.736185
0.0,2,2.748302
0.0,2,2.760997
-1,2,2.768211
-2,2,2.775148
0.0,4,2.798437
-1,2,2.805358
-1,2,2.811996
-1,2,2.818859
2.0,3,2.839036
-2,2,2.846136
3.0,4,2.874279
-2,2,2.881639
2.0,2,2.899118
0.0,2,2.911027
0.0,3,2.926684
0.0,2,2.939398
-2,2,2.946391
-2,2,2.953232
0.0,2,2.965456
-1,2,2.973151
-2,2,2.98225
2.0,4,3.011464
0.0,2,3.023726
0.0,2,3.035685
-2,2,3.042816
0.0,2,3.055112
-1.0,3,3.069561
-1,2,3.07689
0.0,2,3.090506
-2,2,3.097278
2.0,2,3.114894
1.0,4,3.137374
-1,2,3.144322
2.0,2,3.161667
0.0,3,3.176468
-2,2,3.183262
0.0,2,3.195615
2.0,3,3.21518
-2,2,3.221988
-2,2,3.228847
2.0,4,3.257087
-2,2,3.264652
0.0,2,3.277334
0.0,2,3.291046
0.0,2,3.303456
0.0,2,3.315906
-2,2,3.323495
-2,2,3.331498
1.0,3,3.354586
0.0,2,3.367101
1.0,2,3.379099
-2,2,3.386268
-2,2,3.393349
2.0,4,3.424261
-1,2,3.431197
-2,2,3.438249
-2,2,3.445701
0.0,2,3.460532
-2,2,3.46927
2.0,4,3.502147
-1,2,3.509273
-1,2,3.51688
-2,2,3.523823
1.0,2,3.535807
-2,2,3.542701
0.0,2,3.555193
0.0,3,3.570113
0.0,2,3.58248
-1,2,3.589727
0.0,3,3.604965
-1,2,3.611836
-2,2,3.618788
0.0,2,3.632761
0.0,2,3.646527
-2,2,3.654324
-2,2,3.661304
-2,2,3.669083
2.0,2,3.686867
-1,2,3.69406
1.0,2,3.706726
0.0,2,3.719133
-2,2,3.726092
1.0,2,3.738206
1.0,2,3.749919
-2,2,3.757133
-1.0,3,3.77232
5.0,7,3.824165
-1,2,3.83143
0.0,2,3.844229
-2,2,3.851222
1.0,2,3.863307
0.0,2,3.875286
-2,2,3.882972
-1.0,3,3.898746
-2,2,3.905576
-2,2,3.91581
-2,2,3.925873
1.0,2,3.938999
-2,2,3.945661
1.0,3,3.966869
2.0,2,3.983522
1.0,3,4.00456
0.0,3,4.020957
-1,2,4.027851
-2,2,4.034834
0.0,2,4.049657
-2,2,4.05781
0.0,2,4.070145
2.0,2,4.094822
2.0,2,4.117695
-2,2,4.125153
0.0,3,4.143223
0.0,2,4.157159
-2,2,4.164627
0.0,2,4.177337
-2,2,4.185126
-2,2,4.192417
1.0,2,4.205356
-1.0,3,4.221347
0.0,2,4.234397
0.0,2,4.247216
0.0,2,4.259118
-2,2,4.266122
-2,2,4.274239
0.0,3,4.291707
2.0,2,4.308805
-1.0,3,4.324826
5.0,5,4.3689
-2,2,4.375696
0.0,2,4.388115
-2,2,4.395043
2.0,6,4.440681
-1.0,3,4.456531
-1,2,4.465919
1.0,3,4.488057
-1,2,4.495864
-1.0,3,4.511865
0.0,2,4.524989
-2,2,4.533041
-2,2,4.539905
1.0,3,4.562829
-2,2,4.56986
-1.0,3,4.586097
-1,2,4.594868
-2,2,4.604912
-2,2,4.613047
-2,2,4.621405
0.0,2,4.635366
-2,2,4.64245
3.0,5,4.679609
1.0,2,4.691956
-2,2,4.699216
1.0,2,4.71134
0.0,2,4.725664
-2,2,4.732707
-2,2,4.739372
-2,2,4.746693
0.0,2,4.758857
-1.0,3,4.773516
-2,2,4.781698
-2,2,4.788679
-2,2,4.797586
-2,2,4.805217
-2,2,4.813308
-2,2,4.821132
-1,2,4.828353
0.0,2,4.841906
-2,2,4.851364
0.0,2,4.872549
-2,2,4.881728
0.0,2,4.894026
-2,2,4.901108
-2,2,4.90769
-1,2,4.914576
0.0,2,4.927143
-2,2,4.934883
2.0,2,4.957011
-2,2,4.964547
-2,2,4.971343
-2,2,4.978477
0.0,2,4.990839
-2,2,4.99774
-2,2,5.004671
0.0,2,5.01761
-2,2,5.024553
-2,2,5.031312
-2,2,5.038426
2.0,2,5.055767
1.0,3,5.076801
-2,2,5.084629
-1,2,5.091302
-2,2,5.098059
2.0,2,5.114973
-1.0,3,5.130009
1.0,3,5.150631
-2,2,5.15857
-2,2,5.167488
0.0,2,5.181316
0.0,2,5.194722
-2,2,5.201958
-2,2,5.20865
-1,2,5.215517
-2,2,5.222982
-2,2,5.2307
-2,2,5.237798
-2,2,5.2468
-2,2,5.255906
-2,2,5.262988
1.0,3,5.284524
0.0,2,5.296851
-1,2,5.304298
1.0,3,5.326846
-1.0,3,5.34342
1.0,3,5.364861
-1,2,5.372303
0.0,2,5.384351
-2,2,5.391188
-2,2,5.398097
-2,2,5.40502
-2,2,5.41212
1.0,3,5.433326
-2,2,5.44085
0.0,2,5.453527
-2,2,5.460296
0.0,2,5.472774
-1,2,5.479826
-1.0,3,5.495266
-2,2,5.503291
0.0,2,5.518881
-2,2,5.526517
0.0,2,5.539657
1.0,2,5.551769
-1.0,3,5.566685
-2,2,5.573596
-2,2,5.580784
-1,2,5.587535
0.0,2,5.599707
-2,2,5.606755
0.0,2,5.619206
-1,2,5.626116
-2,2,5.633076
-2,2,5.640055
-2,2,5.647355
-2,2,5.654341
0.0,2,5.666303
2.0,4,5.694875
1.0,3,5.714764
-2,2,5.721957
0.0,2,5.734502
-1.0,3,5.74959
-2,2,5.756604
0.0,2,5.770934
-2,2,5.777748
0.0,2,5.790759
-2,2,5.798449
-1.0,3,5.814021
-2,2,5.821619
-2,2,5.830943
-2,2,5.837976
-2,2,5.844898
-1,2,5.852015
-2,2,5.85991
-2,2,5.867609
-2,2,5.874616
-2,2,5.88188
-2,2,5.888838
-2,2,5.895582
-2,2,5.902951
-2,2,5.909869
-2,2,5.917817
-2,2,5.924776
-2,2,5.931727
-2,2,5.938726
-2,2,5.945653
0.0,2,5.960947
-2,2,5.969726
0.0,2,5.984909
-1.0,3,6.001029
-2,2,6.008549
-2,2,6.015422
-2,2,6.022625
-1,2,6.029604
0.0,2,6.045254
1.0,2,6.058733
-2,2,6.066661
-2,2,6.073811
-2,2,6.081364
-2,2,6.09044
-2,2,6.097194
0.0,2,6.109104
0.0,2,6.121118
-2,2,6.127852
-2,2,6.134879
-2,2,6.141651
0.0,2,6.153668
0.0,2,6.166108
-2,2,6.173047
-2,2,6.17976
-2,2,6.187493
-2,2,6.195426
-1,2,6.203209
-2,2,6.210694
-2,2,6.219977
-1,2,6.227087
0.0,2,6.240857
-2,2,6.249705
-2,2,6.256787
-2,2,6.264487
-2,2,6.271312
-2,2,6.278677
0.0,2,6.291253
-2,2,6.29834
-2,2,6.305149
-2,2,6.311693
-2,2,6.319302
1.0,3,6.3409
-2,2,6.347927
-2,2,6.354976
0.0,2,6.369133
-2,2,6.376146
-2,2,6.383276
2.0,2,6.401894
0.0,2,6.414362
-2,2,6.421258
-2,2,6.428151
-2,2,6.435318
-1,2,6.44358
-1,2,6.452978
-2,2,6.459869
-2,2,6.467813
-2,2,6.477507
-2,2,6.486816
-2,2,6.494258
-2,2,6.502578
-2,2,6.511282
-2,2,6.520874
-2,2,6.52792
-2,2,6.535058
-2,2,6.542558
0.0,2,6.555588
-2,2,6.562692
-2,2,6.569531
-2,2,6.57622
-2,2,6.583248
-1,2,6.590202
-2,2,6.597937
-2,2,6.606302
-2,2,6.613443
-2,2,6.620941
-2,2,6.628472
-2,2,6.635347
-1,2,6.642297
-2,2,6.649339
0.0,2,6.661607
-2,2,6.668978
-2,2,6.676128
-2,2,6.684589
-2,2,6.691907
-2,2,6.699466
-2,2,6.706574
-2,2,6.71582
-2,2,6.724191
-2,2,6.731761
-2,2,6.738838
-2,2,6.745594
-2,2,6.75255
-2,2,6.759472
-2,2,6.766394
-2,2,6.773296
-2,2,6.780734
-2,2,6.788871
-2,2,6.795953
-2,2,6.803437
-2,2,6.811811
-2,2,6.819595
-2,2,6.826661
-2,2,6.835656
-2,2,6.84533
-2,2,6.854419
-2,2,6.86174
-2,2,6.868734
-2,2,6.875388
-2,2,6.882786
-2,2,6.890505
-2,2,6.897796
-2,2,6.90471
-2,2,6.911247
-2,2,6.918368
-2,2,6.925373
-2,2,6.932633
-2,2,6.939468
-2,2,6.946594
-2,2,6.954451
-2,2,6.961798
-2,2,6.968816
-2,2,6.975421
-2,2,6.982173
-2,2,6.990445
-2,2,6.999821
-2,2,7.1677
-2,2,7.18666
0.0,2,7.212193
1.0,2,7.235353
1.0,2,7.258154
1.0,2,7.28263
1.0,2,7.305477
1.0,2,7.326929
1.0,2,7.350191
1.0,2,7.372125
1.0,2,7.395388
1.0,2,7.419267
2.0,2,7.447979
2.0,2,7.479412
2.0,2,7.50594
2.0,2,7.534101
2.0,2,7.560319
2.0,2,7.588135
2.0,2,7.616394
2.0,2,7.643512
2.0,2,7.673913
2.0,2,7.700713
2.0,2,7.729533
2.0,2,7.758106
2.0,2,7.786255
2.0,2,7.814795
2.0,2,7.847076
2.0,2,7.875762
2.0,2,7.905503
77.0,86,9.058018
77.0,86,10.198719
7.0,7,10.290776
2.0,2,10.31867
1.0,2,10.342045
2.0,2,10.371675
3.0,3,10.412563
2.0,2,10.439394
2.0,2,10.466754
2.0,2,10.494992
2.0,2,10.524205
9.0,9,10.644524
2.0,2,10.671391
2.0,2,10.698817
2.0,2,10.72664
2.0,2,10.754696
6.0,6,10.834463
2.0,2,10.863523
2.0,2,10.892234
6.0,6,10.972483
2.0,2,11.001561
2.0,2,11.031367
2.0,2,11.059579
2.0,2,11.087809
3.0,3,11.13053
2.0,2,11.169837
2.0,2,11.198351
2.0,2,11.226233
6.0,6,11.305935
2.0,2,11.335657
2.0,2,11.363922
2.0,2,11.391307
2.0,2,11.418163
2.0,2,11.448724
4.0,4,11.504985
2.0,2,11.533953
2.0,2,11.563007
3.0,3,11.607945
2.0,2,11.636839
3.0,3,11.677702
4.0,4,11.733068
2.0,2,11.759953
2.0,2,11.786683
6.0,6,11.869716
2.0,2,11.898803
2.0,2,11.92778
2.0,2,11.954794
4.0,4,12.007976
0.0,2,12.030794
2.0,2,12.058313
2.0,2,12.085025
2.0,2,12.111066
2.0,2,12.141051
2.0,2,12.167862
4.0,4,12.221853
2.0,2,12.250433
2.0,2,12.277272
2.0,2,12.305041
4.0,4,12.359938
2.0,2,12.388634
2.0,2,12.41834
2.0,2,12.448747
5.0,5,12.514791
2.0,2,12.54408
2.0,2,12.581214
5.0,5,12.648559
2.0,2,12.679109
2.0,2,12.708943
2.0,2,12.739912
8.0,8,12.856561
2.0,2,12.885626
2.0,2,12.914072
2.0,2,12.942344
2.0,2,12.991989
2.0,2,13.034914
2.0,2,13.06442
5.0,5,13.136292
2.0,2,13.173673
2.0,2,13.219786
2.0,2,13.251545
2.0,2,13.292412
2.0,2,13.326156
2.0,2,13.360151
5.0,5,13.433665
2.0,2,13.4699
2.0,2,13.503531
1.0,2,13.530813
3.0,3,13.57757
2.0,2,13.607363
2.0,2,13.637979
2.0,2,13.669003
2.0,2,13.702815
4.0,4,13.771499
2.0,2,13.809277
5.0,5,13.881867
2.0,2,13.911449
3.0,3,13.956363
2.0,2,13.984697
2.0,2,14.012733
6.0,6,14.094421
2.0,2,14.122484
2.0,2,14.159051
27.0,27,14.516293
77.0,86,15.665239
31.96,34,16.113996
17.0,19,16.354094
42.832,43,16.958682
77.0,86,18.094918
65.864,71,19.046855
35.912,38,19.571136
77.0,86,20.702943
16.0,16,20.935872
12.0,12,21.093072
18.0,18,21.32739
46.576,49,21.974715
77.0,86,23.135974
2.0,2,23.162689
39.896,40,23.706232
29.976,32,24.117071
77.0,86,25.290831
67.3,70,26.343114
9.0,9,26.492922
77.0,86,27.77791
77.0,86,29.050326
20.0,22,29.347009
77.0,86,30.502644
10.0,10,30.653307
58.824,60,31.560568
77.0,86,32.796672
77.0,86,33.946706
77.0,86,35.206279
61.028,65,36.122831
77.0,86,37.332826
76.94,84,38.472195
4.0,4,38.527136
27.0,27,38.898738
7.0,9,39.01737
77.0,86,40.292127
77.0,86,41.534396
49.408,52,42.25776
77.0,86,43.677863
29.992,30,44.095844
26.992,29,44.465781
52.196,55,45.267118
59.328,63,46.121594
77.0,86,47.351195
77.0,86,48.597503
77.0,86,49.908927
77.0,86,51.052799
77.0,86,52.187901
11.0,11,52.328176
13.0,13,52.503214
77.0,86,53.643192
67.3,70,54.559234
43.708,46,55.16287
77.0,86,56.340619
65.688,68,57.235525
77.0,86,58.384426
77.0,86,59.557848
77.0,86,60.692145
51.272,54,61.419212
13.0,13,61.589695
32.976,33,62.019155
14.0,14,62.200176
20.0,20,62.461911
21.0,21,62.750494
5.0,7,62.841409
77.0,86,63.973728
5.0,5,64.050884
77.0,86,65.253594
11.0,11,65.394949
13.0,13,65.606232
14.0,16,65.901082
7.0,7,66.008222
77.0,86,67.256028
77.0,86,68.561924
64.028,66,69.436964
77.0,86,70.574942
37.928,38,71.087979
33.94,36,71.57363
40.804,43,72.136471
32.952,35,72.607991
77.0,86,73.949914
76.94,84,75.071881
11.0,11,75.216914
9.0,9,75.346032
33.968,34,75.793513
61.028,65,76.646493
70.212,77,77.661899
16.0,16,77.868986
48.468,51,78.542979
77.0,86,79.6847
11.0,13,79.852733
77.0,86,80.985306
77.0,86,82.134952
77.0,86,83.282016
48.624,49,83.934442
77.0,86,85.108633
19.0,21,85.383473
29.992,30,85.778434
77.0,86,86.976846
66.624,72,87.931205
77.0,86,89.178718
16.0,16,89.424676
5.0,7,89.514069
70.212,77,90.554633
75.0,86,91.856793
47.668,48,92.516624
9.0,11,92.676598
44.776,45,93.28791
28.984,31,93.704878
26.0,26,94.04066
